0,1,1,-2170,-22522,2.817892,3.125294
1,-1,0,239,32148,3.082726,3.5567
0,0,1,-32540,-2259073,2.315139,2.724547
0,1,1,288,32280,3.393803,3.742263
0,1,1,-2126,-20328,3.469306,3.777924
1,1,1,2424,205652,2.865519,3.288145
1,1,1,2424,205652,2.865519,3.288145
1,1,1,2424,205652,2.865519,3.288145
1,1,1,2424,205652,2.865519,3.288145
0,0,1,-7816,-163573,2.842426,3.306149
1,0,1,-57962,5370295,2.291222,2.665952
0,0,1,-375410,-88533096,2.379919,2.822122
0,0,1,5071,-157059,2.093913,2.603689
0,0,1,-414916,102870130,2.808848,3.162581
0,1,1,-6672,2430,3.456133,3.686053
0,1,1,-10840,376832,3.277508,3.663353
1,1,1,-54458,4873290,3.271005,3.662871
1,0,1,2876,201375,2.431066,2.853268
0,1,1,-6882,63384,2.756195,3.066537
0,0,1,-12496,-577114,2.64275,3.044401
1,1,0,6131,101792,2.653152,3.068445
1,0,0,-8471,213934,2.758399,3.102764
0,1,1,4616,173042,3.180906,3.414841
0,-1,1,-17813,-932883,2.16651,2.65817
1,1,0,6534,54385,2.631631,3.01532
1,0,0,-36756,2717353,3.402017,3.717607
1,0,0,-71035,7278198,2.789769,3.164744
0,0,1,5840,120307,2.44235,2.866208
1,1,1,-10562,463080,3.157195,3.461731
1,0,1,-9298,273237,2.917752,3.361446
1,-1,1,-65859,6525150,3.404491,3.713311
0,-1,1,-115508,15150084,2.260588,2.591434
0,1,1,-7853,164025,3.353923,3.692192
0,-1,1,-2789804,-1792600404,3.364203,3.759243
0,1,1,-435,209607,2.963041,3.313458
1,0,0,3518,194029,2.573766,2.931048
1,-1,1,2019,-207294,2.408861,2.743873
0,-1,1,-25087,1552106,2.075006,2.553086
1,-1,1,-354196,81224170,3.345739,3.656955
1,1,1,-10108,439618,2.27333,2.744815
0,0,1,-8627,372964,3.042876,3.320952
0,0,1,-137567,19640126,3.905792,4.209806
1,0,1,-101487,-12450709,3.003094,3.340489
1,-1,1,-15151,690256,3.088141,3.456634
0,1,1,-6867,-65505,3.296045,3.669396
1,0,1,-12954,-528357,2.832079,3.302935
1,-1,0,-759233,254820668,2.428428,2.854647
0,0,1,-8198,-194018,2.650188,3.041859
1,0,1,-15581,-719871,2.599252,2.919812
1,-1,1,3474,-195210,3.146503,3.452026
1,-1,0,-6037,-275222,3.020114,3.338962
0,1,1,-3963,229350,2.787907,3.231525
0,0,1,-24829,-1491192,3.072327,3.33723
0,1,1,-71096,7269859,3.219248,3.60344
0,-1,1,5935,112107,3.142982,3.451036
1,1,0,-352000,80235849,3.067588,3.449969
0,0,1,-6281,284062,3.520508,3.839019
1,-1,1,-486990,130927944,2.846731,3.047102
1,-1,1,-9807,431060,2.636161,2.926258
0,0,1,-39280,3003768,3.335533,3.702467
0,1,1,-16039,747858,3.037451,3.378026
1,-1,1,-2847,218430,2.944457,3.217948
0,1,1,3866,189506,2.796377,3.043796
1,-1,1,239,-209784,3.027688,3.380105
0,1,1,-17040,824418,2.934831,3.182667
0,1,1,-91607,10643467,2.820519,3.157985
0,0,1,-26665,1689018,2.702259,3.024446
0,0,1,-1835821,957400397,2.863401,3.247539
1,1,1,-7994,174702,4.097734,4.482258
0,-1,1,5157,-155568,2.830125,3.22986
1,1,1,-7401,-129868,2.999856,3.401257
1,0,0,-6759,-42562,3.044763,3.487708
1,0,1,1772,207889,4.098845,4.458556
1,1,1,-7406,-325830,2.850346,3.177808
0,0,1,-178774,29094837,2.73989,3.08514
1,1,1,-34823,-2506898,2.608155,3.071382
0,0,1,-16499,-788285,2.819276,3.195784
1,1,1,237,-209620,3.255446,3.657874
1,0,1,-424479,106410995,3.25183,3.629185
0,1,1,4988,-158344,2.498434,2.818405
1,-1,0,6491,57292,3.342842,3.721053
1,-1,1,-23683,1392950,2.379755,2.773452
1,0,0,6300,83833,3.15783,3.404318
1,0,0,-8294,-359171,2.823053,3.140321
1,0,0,-1912,212013,3.14872,3.529038
0,1,1,-7154,-103698,2.511786,2.826448
1,-1,0,-121765,-16325236,2.745895,3.132711
0,-1,1,5320,-149028,2.614197,2.955123
1,0,0,-7083,-93652,3.153419,3.63407
1,-1,0,-1544543,739222420,2.371256,2.83644
0,-1,1,-28099,1810172,2.440019,2.874331
0,0,1,-12314,-482333,2.416996,2.824341
1,0,1,6619,32389,2.617428,3.127542
1,0,1,-4479,-239725,2.787887,3.164298
1,1,1,-4270,-237402,2.992352,3.381658
